Fangruppe;code;Alter;Geschlecht;Sehhilfen;Heimspiele;Auswärtsspiele;Fernsehen_Spiele_sehen;Sportschauseher;Computerspiele;PublicViewer;Dauerkarte;Sky_Paket;Gewinner;Fan_von;interessiert;v_229;v_230;v_231;v_234;v_237;v_235;v_236;v_238;v_239;v_240;v_241;v_242;v_243;v_244;v_245
1;S0508D;29;2;1;2;2;3;3;1;2;2;2;1;Borussia Dortmund;5;7;6;7;0;0;1;2;12;13;6;6;12;12;8;8
1;N2911F;21;1;1;1;2;3;3;2;3;2;2;1;Borussia Dortmund;2;5;6;4;0;0;1;2;25;35;10;6;5;3;6;10
1;H2408C;20;1;1;1;1;2;1;1;1;2;2;1;VFB Stuttgart normalerweise, in diesem Finale Borussia Dortmund;5;6;6;7;0;0;0;1;50;50;8;5;10;9;11;14
1;D2301P;27;2;1;2;1;5;4;5;3;2;2;1;Borussia Dortmund;5;5;6;7;0;0;2;2;120;125;8;6;7;8;10;10
1;B2711K;24;1;2;1;1;3;3;2;4;2;2;1;Dortmund;3;6;7;3;0;0;0;0;15;15;10;6;5;5;3;3
1;r1107l;27;2;2;3;2;4;4;3;3;2;2;1;BVB;5;7;5;7;0;0;2;2;9;10;7;6;6;5;6;5
1;R1309S;24;2;2;3;1;4;4;2;2;2;2;1;Borussia Dortmund;4;6;5;6;0;0;2;3;13;14;9;6;20;20;13;14
1;D2607m;28;2;2;2;2;4;2;3;3;2;1;1;BVB;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;M2912K;43;2;2;1;1;5;5;2;2;2;2;1;Borussia Dortmund;5;7;7;6;0;0;3;2;10;10;7;13;5;7;10;12
1;P2802R;22;2;2;1;1;3;1;2;3;2;2;1;Manchester United;4;6;5;4;0;0;1;2;10;10;15;9;8;10;7;9
1;A3007C;40;1;2;4;4;5;5;3;1;2;2;1;Borussia Dortmund;5;5;6;5;0;0;1;1;5;7;8;10;1;0;5;7
1;f0609m;34;2;1;1;1;4;3;1;3;2;2;1;BVB;5;6;6;6;0;0;1;1;60;60;6;6;4;4;5;6
1;h250515j;43;2;1;1;1;3;3;1;4;2;2;1;VFB;5;6;6;6;0;0;1;2;25;27;12;11;7;7;6;7
1;m1811k;22;1;1;2;1;3;4;1;3;2;2;1;SC Freiburg;4;7;7;7;0;0;2;2;45;50;5;4;3;4;4;6
1;M2006M;42;2;1;1;1;3;4;1;2;2;2;1;KSC (Karlsruher Sport Club), MSV Duisburg;5;7;7;7;0;0;2;1;100;100;7;8;4;5;28;13
1;M2511J;24;2;1;2;1;3;3;1;3;2;2;1;VFB Stuttgart;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;d0604d;31;2;1;2;2;2;4;3;2;2;2;1;VfB Stuttgart;5;7;6;6;0;0;3;5;9;10;10;8;12;12;12;12
1;D1811S;21;2;2;3;1;5;5;3;4;2;2;1;VfB Stuttgart;4;5;7;7;0;0;3;4;20;20;8;6;6;7;8;8
1;M0707S;27;1;1;2;1;4;4;1;2;2;2;1;VFB Stuttgart;5;7;8;8;0;0;2;1;200;150;9;7;8;8;10;9
1;F1806H;25;2;1;1;2;3;3;1;3;2;2;1;VfB Stuttgart;5;6;6;7;0;0;1;2;15;17;10;15;3;2;10;7
1;J1903J;70;2;1;1;1;5;4;1;1;2;2;1;BVB;3;5;6;4;0;0;0;1;6;8;3;5;2;3;1;0
1;K0805A;63;2;1;2;2;3;3;1;2;2;2;1;Borussia Dortmund;4;6;6;6;0;0;1;2;80;80;8;8;10;10;10;10
1;D0704A;30;2;1;4;1;4;3;3;3;2;2;1;VfB Stuttgart;5;7;6;7;0;0;1;3;10;10;7;5;12;10;13;10
1;R0212S;25;2;1;3;1;3;5;5;4;2;2;3;VFB Stuttgart;4;6;6;5;0;0;2;3;16;17;7;5;6;6;7;7
1;J2105A;63;2;2;2;2;5;5;1;2;2;2;1;Dortmund;5;7;6;6;0;0;3;4;77000;80000;9;7;14;20;25;28
1;M0308A;26;2;1;1;1;4;2;2;3;2;2;1;Borussia Dortmund;5;7;5;3;0;0;1;2;220;260;12;4;4;3;2;4
1;s1208e;22;2;2;2;1;3;2;5;2;2;2;1;VfB Stuttgart;5;7;6;6;0;0;1;2;140;150;8;6;9;11;11;9
1;a0811h;57;2;1;1;2;4;5;1;4;2;2;1;BVB Dortmund;5;6;6;6;0;0;1;2;100;120;8;4;10;10;10;10
1;B1705L;30;2;1;1;1;5;2;1;1;2;2;1;BVB;5;7;6;8;0;0;1;1;110;120;6;5;3;2;6;7
1;J0302D;23;1;1;1;1;2;2;1;2;2;2;1;VfB Stuttgart;5;6;6;4;0;0;1;1;15;20;10;10;7;5;12;8
1;S0108F;27;2;2;4;1;2;2;2;4;2;2;1;VfB Stuttgart;4;8;6;6;0;0;2;2;10;10;8;5;8;6;6;9
1;h0407e;22;1;2;1;1;4;2;1;3;2;2;1;Borussia Dortmund;4;6;6;5;0;0;1;1;30;30;7;5;6;4;6;7
1;s0709c;24;2;2;2;1;3;4;1;3;2;2;1;VFB Stuttgart;5;5;5;4;0;0;0;1;14;17;8;3;5;3;4;6
2;N0607H;35;1;1;1;1;4;4;1;2;2;2;2;FC Bayern München;4;7;7;8;0;0;0;1;24,4;24,5;10;9;8;5;2;4
2;A1508C;38;1;1;1;1;3;3;1;2;2;2;2;FC Bayern München;4;8;7;8;1;1;1;0;250;250;6;5;3;3;4;4
2;V2409I;21;1;2;1;1;3;2;1;3;1;2;2;FCB;4;7;7;6;0;0;1;1;40;40;7;9;4;3;2;4
2;D0307C;20;2;1;2;1;4;4;4;4;2;2;2;Bayern;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2;P1410U;20;2;2;2;1;3;1;2;3;2;2;2;FC Bayern München;5;7;6;8;0;0;0;2;130;120;8;9;9;6;6;10
2;S1011S;21;1;2;3;2;4;3;1;4;2;1;2;FC  Bayern München;4;8;7;7;0;0;1;2;110;120;12;6;10;9;14;10
2;N1302K;22;1;2;2;1;4;2;1;2;2;2;2;FCB;3;6;5;5;0;0;1;1;12;13;7;6;7;6;7;6
2;K1404E;21;1;2;2;2;4;3;1;3;2;1;2;FC Bayern;5;7;8;8;0;0;1;2;150;150;10;8;4;3;5;6
2;F1005D;27;2;2;2;2;4;5;1;2;2;2;2;FC Bayern;5;5;6;6;0;0;2;3;95;100;7;8;12;10;13;10
2;T2801A;20;1;2;2;1;3;2;1;2;2;2;2;FCB;5;7;5;6;0;0;1;3;10;10;9;6;4;4;5;7
2;j2407i;19;2;1;4;2;4;2;1;1;2;2;2;Stuttgarter Kickers;3;7;8;7;0;0;2;4;25;25;8;10;3;2;7;8
2;K1907J;54;2;1;1;1;3;2;1;2;2;2;2; f c  bayern  münchen;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2;A0705G;22;2;1;2;1;4;5;5;3;2;2;2;VfB Stuttgart;5;6;6;6;0;0;1;2;120;130;12;7;10;12;12;10
2;J0505B;21;2;1;2;1;4;5;4;4;2;2;2;Fc Bayern München;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2;F2907B;24;2;1;2;2;3;3;2;4;2;2;2;FC Bayern München;4;7;7;6;0;0;2;3;10;10;9;7;6;5;10;18
2;M3105H;19;1;2;2;1;3;2;3;2;2;2;2;Vfb Stuttgart;5;4;5;6;0;0;1;1;20;20;7;4;6;3;3;3
2;S0807C;27;2;2;2;1;3;2;1;2;2;2;2;Bayer Leverkusen;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2;J0212A;24;2;2;1;2;3;4;4;2;2;2;2;Bayer 04 Leverkusen;4;7;7;5;0;0;2;3;121;132;10;8;11;10;10;11
2;a2308c;34;2;2;2;1;2;3;4;4;2;2;2;VfB Stuttgart;5;6;7;7;0;0;0;0;20;20;15;15;10;10;5;5
2;M1310J;21;2;1;2;1;4;5;2;2;2;2;2;VfB Stuttgart;5;6;6;5;0;0;3;3;45;50;8;4;5;6;9;7
2;53;25;1;1;2;2;3;1;1;1;2;2;2;Bayern;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2;D1408B;24;1;1;4;2;5;5;4;4;2;2;2;FCB, VfB;5;7;8;7;0;0;1;1;80;80;16;14;14;15;14;15
2;J2801H;33;2;1;1;1;3;1;1;1;2;2;2;Werder Bremen;4;8;7;9;0;0;2;3;10;10;10;10;10;10;10;10
2;P0902L;26;1;2;3;2;4;4;1;1;2;2;2;FCB;2;8;8;5;0;0;2;1;90;90;5;9;2;1;5;4
2;N2812S;23;1;1;2;2;3;3;2;3;2;2;2;FC Bayern München;4;7;7;7;0;0;1;2;300;320;8;10;4;6;9;8
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;7;7;0;0;2;3;10;10;8;7;7;8;8;7
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;6;10;0;0;1;1;25;25;15;20;6;7;8;5
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 