fan_cl_spiel,participant,"BVB Items_(42,189]_Delayed","BVB Items_(42,189]_Immediate","BVB Items_(5.1,42]_Delayed","BVB Items_(5.1,42]_Immediate","BVB Items_[0.78,5.1]_Delayed","BVB Items_[0.78,5.1]_Immediate","FCB Items_(42,189]_Delayed","FCB Items_(42,189]_Immediate","FCB Items_(5.1,42]_Delayed","FCB Items_(5.1,42]_Immediate","FCB Items_[0.78,5.1]_Delayed","FCB Items_[0.78,5.1]_Immediate"
BVB Fans,1,0.7,0.7,0.666666666666667,0.555555555555556,0.714285714285714,0.714285714285714,0.8,0.6,0.857142857142857,0.428571428571429,0.444444444444444,0.777777777777778
BVB Fans,3,0.6,0.7,0.666666666666667,0.555555555555556,0.714285714285714,0.857142857142857,0.8,0.6,1,0.428571428571429,0.444444444444444,0.666666666666667
BVB Fans,5,0.5,0.6,0.666666666666667,0.555555555555556,0.714285714285714,0.428571428571429,0.4,0.4,0.714285714285714,0.714285714285714,0.777777777777778,0.777777777777778
BVB Fans,7,0.4,0.6,0.666666666666667,0.666666666666667,0.857142857142857,0.857142857142857,0.6,0.4,0.714285714285714,0.428571428571429,0.555555555555556,0.777777777777778
BVB Fans,9,0.7,0.5,0.444444444444444,0.666666666666667,0.428571428571429,0.857142857142857,0.6,0.6,0.857142857142857,0.714285714285714,0.555555555555556,0.444444444444444
BVB Fans,11,0.5,0.8,0.888888888888889,0.777777777777778,1,1,0.6,0.2,0.857142857142857,0.857142857142857,0.777777777777778,0.888888888888889
BVB Fans,13,0.5,0.6,0.777777777777778,0.666666666666667,0.857142857142857,0.714285714285714,0.8,0.6,1,1,0.777777777777778,0.888888888888889
BVB Fans,15,0.5,0.6,1,0.777777777777778,1,1,0.6,0.6,0.714285714285714,0.571428571428571,0.888888888888889,0.777777777777778
BVB Fans,17,0.4,0.6,0.555555555555556,0.444444444444444,0.857142857142857,1,0.8,0.8,1,0.714285714285714,0.777777777777778,0.888888888888889
BVB Fans,19,0.3,0.6,0.444444444444444,0.555555555555556,0.714285714285714,0.571428571428571,0.6,0.6,0.714285714285714,0.714285714285714,0.777777777777778,0.666666666666667
BVB Fans,21,0.6,0.5,0.666666666666667,0.444444444444444,0.571428571428571,0.142857142857143,1,0.2,0.571428571428571,0.857142857142857,0.111111111111111,0.111111111111111
BVB Fans,23,0.4,0.8,0.777777777777778,0.666666666666667,0.571428571428571,0.428571428571429,0.8,0.4,0.428571428571429,0.428571428571429,0.666666666666667,0.555555555555556
BVB Fans,24,0.5,0.6,0.222222222222222,0.555555555555556,1,0.714285714285714,0.8,0.4,0.714285714285714,0.857142857142857,0.666666666666667,0.888888888888889
BVB Fans,25,0.5,0.5,0.444444444444444,0.666666666666667,0.571428571428571,0.428571428571429,0.8,0.8,0.428571428571429,0.571428571428571,0.444444444444444,0.444444444444444
BVB Fans,28,0.4,0.5,0.777777777777778,0.444444444444444,0.714285714285714,0.857142857142857,0.8,0.4,0.714285714285714,0.714285714285714,0.555555555555556,0.666666666666667
BVB Fans,29,0.7,0.7,0.666666666666667,0.444444444444444,0.571428571428571,0.714285714285714,0.4,0.2,0.714285714285714,0.714285714285714,0.666666666666667,0.777777777777778
BVB Fans,30,0.5,0.8,0.555555555555556,0.666666666666667,0.714285714285714,0.857142857142857,0.6,0.6,0.857142857142857,0.857142857142857,0.888888888888889,0.888888888888889
BVB Fans,31,0.3,0.6,0.555555555555556,0.555555555555556,1,1,0.6,0.4,0.571428571428571,0.428571428571429,0.666666666666667,0.888888888888889
BVB Fans,32,0.6,0.5,0.333333333333333,0.444444444444444,0.714285714285714,0.714285714285714,0.8,0.4,0.714285714285714,0.285714285714286,0.555555555555556,0.555555555555556
BVB Fans,33,0.5,0.4,0.555555555555556,0.777777777777778,1,0.714285714285714,0.4,0.8,0.571428571428571,0.714285714285714,0.777777777777778,0.666666666666667
BVB Fans,34,0.2,0.6,0.555555555555556,0.666666666666667,0.714285714285714,0.714285714285714,0.6,0.8,0.428571428571429,0.571428571428571,0.444444444444444,0.666666666666667
BVB Fans,36,0.5,0.6,0.444444444444444,0.444444444444444,0.857142857142857,0.285714285714286,0.6,0.4,0.714285714285714,0.857142857142857,0.444444444444444,0.444444444444444
BVB Fans,38,0.6,0.6,0.777777777777778,0.666666666666667,0.857142857142857,1,0.6,0.8,0.857142857142857,0.714285714285714,0.555555555555556,0.555555555555556
BVB Fans,40,0.4,0.7,0.888888888888889,0.444444444444444,0.714285714285714,0.857142857142857,0.6,0.8,0.714285714285714,0.571428571428571,0.555555555555556,0.666666666666667
BVB Fans,44,0.5,0.2,0.777777777777778,0.666666666666667,0.714285714285714,0.571428571428571,0.6,0.4,0.285714285714286,0.428571428571429,0.444444444444444,0.444444444444444
BVB Fans,48,0.6,0.6,0.777777777777778,0.777777777777778,0.857142857142857,0.857142857142857,0.4,0.4,0.714285714285714,0.857142857142857,0.777777777777778,0.777777777777778
BVB Fans,50,0.5,0.6,0.555555555555556,0.777777777777778,0.714285714285714,0.857142857142857,0.8,0.6,0.714285714285714,0.714285714285714,0.555555555555556,0.666666666666667
BVB Fans,52,0.7,0.3,0.555555555555556,0.555555555555556,1,1,0.6,0.6,0.857142857142857,1,0.666666666666667,0.777777777777778
BVB Fans,54,0.4,0.6,0.333333333333333,0.333333333333333,0.285714285714286,0.428571428571429,0.4,0.6,0.571428571428571,0.428571428571429,0.333333333333333,0.111111111111111
BVB Fans,56,0.8,0.7,0.666666666666667,0.666666666666667,1,1,0.4,0.4,0.714285714285714,0.857142857142857,1,0.888888888888889
BVB Fans,58,0.4,0.6,0.444444444444444,0.666666666666667,0.857142857142857,0.857142857142857,0.6,0.6,0.714285714285714,0.714285714285714,0.666666666666667,0.666666666666667
BVB Fans,60,0.5,0.6,0.666666666666667,0.555555555555556,0.714285714285714,0.857142857142857,0.6,0.8,0.857142857142857,0.857142857142857,0.666666666666667,0.888888888888889
FCB Fans,2,0.7,0.5,0.777777777777778,0.333333333333333,0.857142857142857,0.428571428571429,0.6,0.4,0.428571428571429,0.428571428571429,0.444444444444444,0.444444444444444
FCB Fans,4,0.4,0.7,0.444444444444444,0.444444444444444,1,0.428571428571429,0.8,0.8,0.714285714285714,0.428571428571429,0.444444444444444,0.555555555555556
FCB Fans,6,0.5,0.4,0.555555555555556,0.666666666666667,0.571428571428571,0.428571428571429,0.8,0.6,0.714285714285714,0.714285714285714,0.444444444444444,0.555555555555556
FCB Fans,8,0.4,0.6,0.666666666666667,0.666666666666667,0.857142857142857,1,0.2,0.8,1,0.857142857142857,0.555555555555556,0.888888888888889
FCB Fans,10,0.3,0.4,0.666666666666667,0.555555555555556,0.571428571428571,0.857142857142857,0.8,0.8,0.428571428571429,0.571428571428571,0.444444444444444,0.666666666666667
FCB Fans,12,0.6,0.6,0.666666666666667,0.666666666666667,0.714285714285714,0.571428571428571,0.4,0.6,0.428571428571429,0.571428571428571,0.666666666666667,0.666666666666667
FCB Fans,14,0.7,0.6,0.555555555555556,0.444444444444444,0.714285714285714,0.857142857142857,0.8,0.8,1,0.714285714285714,0.777777777777778,0.666666666666667
FCB Fans,16,0.9,0.8,0.333333333333333,0.333333333333333,0.428571428571429,0.857142857142857,0.4,0.4,0.571428571428571,0.428571428571429,0.666666666666667,0.777777777777778
FCB Fans,18,0.5,0.7,0.555555555555556,0.666666666666667,0.857142857142857,1,0.6,0.2,0.571428571428571,0.428571428571429,0.666666666666667,0.666666666666667
FCB Fans,20,0.4,0.4,0.555555555555556,0.555555555555556,0.428571428571429,0.714285714285714,0.8,0.8,0.571428571428571,0.857142857142857,0.777777777777778,0.555555555555556
FCB Fans,22,0.5,0.7,0.444444444444444,0.333333333333333,0.571428571428571,0.571428571428571,0.4,0.4,0.714285714285714,0.857142857142857,0.555555555555556,0.444444444444444
FCB Fans,26,0.7,0.4,0.555555555555556,0.666666666666667,0.428571428571429,0.571428571428571,0.6,0.6,0.714285714285714,0.571428571428571,0.555555555555556,0.555555555555556
FCB Fans,35,0.6,0.6,0.777777777777778,0.555555555555556,0.857142857142857,0.857142857142857,0.6,0.8,0.714285714285714,0.857142857142857,1,0.888888888888889
FCB Fans,39,0.7,0.7,0.333333333333333,0.555555555555556,1,0.857142857142857,0.6,0.6,1,0.857142857142857,0.888888888888889,0.777777777777778
FCB Fans,41,0.5,0.7,0.555555555555556,0.666666666666667,0.857142857142857,1,0.8,0.2,0.714285714285714,0.571428571428571,0.888888888888889,0.666666666666667
FCB Fans,43,0.5,0.8,0.666666666666667,0.555555555555556,0.571428571428571,0.714285714285714,0.4,0.6,0.571428571428571,0.714285714285714,0.666666666666667,0.444444444444444
FCB Fans,47,0.6,0.8,0.555555555555556,0.555555555555556,0.714285714285714,0.714285714285714,0.6,0.8,0.714285714285714,0.857142857142857,0.666666666666667,0.666666666666667
FCB Fans,49,0.6,0.6,0.333333333333333,0.333333333333333,0.714285714285714,0.285714285714286,0.4,0.4,0.714285714285714,0.571428571428571,0.444444444444444,0.222222222222222
FCB Fans,51,0.6,0.5,0.666666666666667,0.666666666666667,0.714285714285714,0.714285714285714,0.6,0.6,1,0.714285714285714,0.666666666666667,0.777777777777778
FCB Fans,53,0.8,0.6,0.666666666666667,0.666666666666667,0.571428571428571,0.428571428571429,0.4,0.6,0.857142857142857,0.857142857142857,0.333333333333333,0.333333333333333
FCB Fans,55,0.3,0.4,0.666666666666667,0.666666666666667,0.714285714285714,0.857142857142857,0.8,0.6,0.571428571428571,0.428571428571429,0.666666666666667,0.555555555555556
FCB Fans,57,0.5,0.4,0.555555555555556,0.555555555555556,0.285714285714286,0.857142857142857,0.8,0.2,0.428571428571429,0.714285714285714,0.444444444444444,0.666666666666667
FCB Fans,59,0.5,0.3,0.555555555555556,0.333333333333333,0.714285714285714,0.857142857142857,0.4,0.4,0.571428571428571,0.857142857142857,0.555555555555556,0.444444444444444
FCB Fans,61,0.5,0.3,0.222222222222222,0.555555555555556,1,0.714285714285714,0.6,0.2,0.571428571428571,0.571428571428571,0.666666666666667,0.555555555555556
